"cntry","op","variables","raw","std"
"NL","threshold","euro4: t1","+0.262 (0.020)","+0.262 (0.020)"
"NL","threshold","euro4: t2","+0.860 (0.024)","+0.860 (0.024)"
"NL","threshold","euro4: t3","+1.224 (0.028)","+1.224 (0.028)"
"NL","threshold","euro4: t4","+1.620 (0.035)","+1.620 (0.035)"
"NL","threshold","euro5: t1","-0.888 (0.022)","-0.888 (0.022)"
"NL","threshold","euro5: t2","+0.554 (0.020)","+0.554 (0.020)"
"NL","threshold","euro5: t3","+0.846 (0.022)","+0.846 (0.022)"
"NL","threshold","euro5: t4","+1.358 (0.028)","+1.358 (0.028)"
"NL","threshold","euro7: t1","+0.377 (0.020)","+0.377 (0.020)"
"NL","threshold","euro7: t2","+0.888 (0.024)","+0.888 (0.024)"
"NL","threshold","euro7: t3","+1.266 (0.029)","+1.266 (0.029)"
"NL","threshold","euro7: t4","+1.603 (0.034)","+1.603 (0.034)"
"NL","var/cov","cult","+0.857 (0.010)","+1.000 (0.000)"
"NL","var/cov","cult-econ","+0.313 (0.014)","+0.579 (0.020)"
"NL","var/cov","cult-euro","+0.649 (0.009)","+0.749 (0.009)"
"NL","var/cov","cult2","+0.264 (0.000)","+0.264 (0.010)"
"NL","var/cov","cult3","+0.143 (0.000)","+0.143 (0.010)"
"NL","var/cov","cult9","+0.408 (0.000)","+0.408 (0.013)"
"NL","var/cov","econ","+0.342 (0.025)","+1.000 (0.000)"
"NL","var/cov","econ-euro","+0.217 (0.013)","+0.397 (0.021)"
"NL","var/cov","econ1","+0.658 (0.000)","+0.658 (0.025)"
"NL","var/cov","econ2","+0.686 (0.000)","+0.686 (0.023)"
"NL","var/cov","euro","+0.877 (0.007)","+1.000 (0.000)"
"NL","var/cov","euro1","+0.261 (0.000)","+0.261 (0.009)"
"NL","var/cov","euro3","+0.544 (0.000)","+0.544 (0.013)"
"NL","var/cov","euro4","+0.123 (0.000)","+0.123 (0.007)"
"NL","var/cov","euro5","+0.763 (0.000)","+0.763 (0.012)"
"NL","var/cov","euro7","+0.046 (0.000)","+0.046 (0.006)"
"SE","loading","cult1 on cult","+0.930 (0.007)","+0.828 (0.005)"
"SE","loading","cult10 on cult","+0.997 (0.007)","+0.887 (0.005)"
"SE","loading","cult6 on cult","+1.000 (0.000)","+0.890 (0.004)"
"SE","loading","cult8 on cult","+0.986 (0.007)","+0.877 (0.004)"
"SE","loading","econ1 on econ","+0.997 (0.008)","+0.809 (0.005)"
"SE","loading","econ10 on econ","+0.875 (0.010)","+0.710 (0.007)"
"SE","loading","econ2 on econ","+0.815 (0.010)","+0.661 (0.007)"
"SE","loading","econ3 on econ","+1.000 (0.000)","+0.811 (0.005)"
"SE","loading","econ4 on econ","+0.874 (0.009)","+0.709 (0.007)"
"SE","loading","econ8 on econ","+0.675 (0.011)","+0.547 (0.009)"
"SE","loading","econ9 on econ","+0.973 (0.009)","+0.789 (0.006)"
"SE","loading","euro1 on euro","+1.000 (0.000)","+0.677 (0.011)"
"SE","loading","euro2 on euro","+0.555 (0.022)","+0.376 (0.013)"
"SE","loading","euro5 on euro","+1.015 (0.026)","+0.687 (0.011)"
"SE","threshold","cult10: t1","-0.947 (0.016)","-0.947 (0.016)"
"SE","threshold","cult10: t2","-0.657 (0.015)","-0.657 (0.015)"
"SE","threshold","cult10: t3","-0.345 (0.014)","-0.345 (0.014)"
"SE","threshold","cult10: t4","+0.075 (0.014)","+0.075 (0.014)"
"SE","threshold","cult1: t1","-1.844 (0.028)","-1.844 (0.028)"
"SE","threshold","cult1: t2","-1.256 (0.019)","-1.256 (0.019)"
"SE","threshold","cult1: t3","-0.824 (0.016)","-0.824 (0.016)"
"SE","threshold","cult1: t4","-0.035 (0.014)","-0.035 (0.014)"
"SE","threshold","cult6: t1","-1.467 (0.021)","-1.467 (0.021)"
"SE","threshold","cult6: t2","-0.926 (0.016)","-0.926 (0.016)"
"SE","threshold","cult6: t3","-0.592 (0.015)","-0.592 (0.015)"
"SE","threshold","cult6: t4","-0.036 (0.014)","-0.036 (0.014)"
"SE","threshold","cult8: t1","-0.661 (0.015)","-0.661 (0.015)"
"SE","threshold","cult8: t2","-0.038 (0.014)","-0.038 (0.014)"
"SE","threshold","cult8: t3","+0.292 (0.014)","+0.292 (0.014)"
"SE","threshold","cult8: t4","+0.694 (0.015)","+0.694 (0.015)"
"SE","threshold","econ10: t1","+0.025 (0.014)","+0.025 (0.014)"
"SE","threshold","econ10: t2","+0.658 (0.015)","+0.658 (0.015)"
"SE","threshold","econ10: t3","+0.997 (0.016)","+0.997 (0.016)"
"SE","threshold","econ10: t4","+1.549 (0.021)","+1.549 (0.021)"
"SE","threshold","econ1: t1","-0.908 (0.016)","-0.908 (0.016)"
"SE","threshold","econ1: t2","-0.118 (0.014)","-0.118 (0.014)"
"SE","threshold","econ1: t3","+0.294 (0.014)","+0.294 (0.014)"
"SE","threshold","econ1: t4","+0.945 (0.016)","+0.945 (0.016)"
"SE","threshold","econ2: t1","-0.907 (0.016)","-0.907 (0.016)"
"SE","threshold","econ2: t2","-0.011 (0.014)","-0.011 (0.014)"
"SE","threshold","econ2: t3","+0.554 (0.015)","+0.554 (0.015)"
"SE","threshold","econ2: t4","+1.354 (0.019)","+1.354 (0.019)"
"SE","threshold","econ3: t1","-0.634 (0.015)","-0.634 (0.015)"
"SE","threshold","econ3: t2","-0.018 (0.014)","-0.018 (0.014)"
"SE","threshold","econ3: t3","+0.320 (0.014)","+0.320 (0.014)"
"SE","threshold","econ3: t4","+0.819 (0.016)","+0.819 (0.016)"
"SE","threshold","econ4: t1","-0.348 (0.014)","-0.348 (0.014)"
"SE","threshold","econ4: t2","+0.227 (0.014)","+0.227 (0.014)"
"SE","threshold","econ4: t3","+0.572 (0.015)","+0.572 (0.015)"
"SE","threshold","econ4: t4","+1.311 (0.019)","+1.311 (0.019)"
"SE","threshold","econ8: t1","-0.918 (0.016)","-0.918 (0.016)"
"SE","threshold","econ8: t2","-0.414 (0.014)","-0.414 (0.014)"
"SE","threshold","econ8: t3","-0.107 (0.014)","-0.107 (0.014)"
"SE","threshold","econ8: t4","+0.695 (0.015)","+0.695 (0.015)"
"SE","threshold","econ9: t1","-0.688 (0.015)","-0.688 (0.015)"
"SE","threshold","econ9: t2","-0.027 (0.014)","-0.027 (0.014)"
"SE","threshold","econ9: t3","+0.331 (0.014)","+0.331 (0.014)"
"SE","threshold","econ9: t4","+0.879 (0.016)","+0.879 (0.016)"
"SE","threshold","euro1: t1","-0.608 (0.015)","-0.608 (0.015)"
"SE","threshold","euro1: t2","+0.168 (0.014)","+0.168 (0.014)"
"SE","threshold","euro1: t3","+0.603 (0.015)","+0.603 (0.015)"
"SE","threshold","euro1: t4","+1.244 (0.019)","+1.244 (0.019)"
"SE","threshold","euro2: t1","-1.921 (0.028)","-1.921 (0.028)"
"SE","threshold","euro2: t2","-1.138 (0.018)","-1.138 (0.018)"
"SE","threshold","euro2: t3","-0.377 (0.014)","-0.377 (0.014)"
"SE","threshold","euro2: t4","+0.177 (0.014)","+0.177 (0.014)"
"SE","threshold","euro5: t1","-0.580 (0.015)","-0.580 (0.015)"
"SE","threshold","euro5: t2","+0.357 (0.014)","+0.357 (0.014)"
"SE","threshold","euro5: t3","+0.729 (0.015)","+0.729 (0.015)"
"SE","threshold","euro5: t4","+1.104 (0.017)","+1.104 (0.017)"
"SE","var/cov","cult","+0.792 (0.008)","+1.000 (0.000)"
"SE","var/cov","cult-econ","+0.401 (0.008)","+0.555 (0.009)"
"SE","var/cov","cult-euro","+0.414 (0.009)","+0.687 (0.011)"
"SE","var/cov","cult1","+0.315 (0.000)","+0.315 (0.009)"
"SE","var/cov","cult10","+0.213 (0.000)","+0.213 (0.008)"
"SE","var/cov","cult6","+0.208 (0.000)","+0.208 (0.008)"
"SE","var/cov","cult8","+0.230 (0.000)","+0.230 (0.007)"
"SE","var/cov","econ","+0.658 (0.008)","+1.000 (0.000)"
"SE","var/cov","econ-euro","+0.124 (0.008)","+0.225 (0.014)"
"SE","var/cov","econ1","+0.345 (0.000)","+0.345 (0.008)"
"SE","var/cov","econ10","+0.496 (0.000)","+0.496 (0.011)"
"SE","var/cov","econ2","+0.563 (0.000)","+0.563 (0.009)"
"SE","var/cov","econ3","+0.342 (0.000)","+0.342 (0.008)"
"SE","var/cov","econ4","+0.497 (0.000)","+0.497 (0.010)"
"SE","var/cov","econ8","+0.700 (0.000)","+0.700 (0.010)"
"SE","var/cov","econ9","+0.377 (0.000)","+0.377 (0.009)"
"SE","var/cov","euro","+0.458 (0.015)","+1.000 (0.000)"
"SE","var/cov","euro1","+0.542 (0.000)","+0.542 (0.015)"
"SE","var/cov","euro2","+0.859 (0.000)","+0.859 (0.010)"
"SE","var/cov","euro5","+0.528 (0.000)","+0.528 (0.016)"
